,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank RPL created,10/1/1997,
Pos,Event,Latitude,,,Longitude,,,Decimal,Radians,Sin,Meridional,Distance from,Decimal,Difference,Difference,Difference,Difference,Course,Distance,Bearing,Distance (km),,Slack,Cable Distance (km),,Cable,Cumulative,Cable Totals,Approx,Burial,Fibre,Lay,Date,Remarks,A,AA,EE
No.,,,,,,,,Latitude,Latitude,Latitude,Parts,Equator,Longitude,in Latitude,in MPs,in E Dist,in Longitude,(Radians),in nmiles,°T,Between,Cumulative,%,Between,Cumulative,Type,by type,By Type,Depth,Depth,Type,Vessel,Installed,,(Semi-major Axis),(Semi-major Axis in,(Eccentricity^2)
,,,,,,,,(degrees),,,,,(minutes),(degrees),,,(minutes),,(6087 ft),,Positions,Total,,Positions,Total,,,(km),(m),(m),,,,,,   feet),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Land,,,,,,,,,6378137,3437.760198,0.00669437999
-,Tuas Station,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,-,,,,,,,
11,"POL: Exit Singapore - TS , Enter Malaysia - TS",1 ° ,18.991 ',N,103 ° ,37.033 ',E,1 ° ,0.02297749231,0.02297547048,78.46900836,78.46245229,6217.0329,,,,,,,,,3.463,,,8.706,,3.494Ê,,4,4.3,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.02623028447,-0.02622351028,-0.0121,0.4322102222,0.02887917724,204.8,0.054,,0.04,0.054,,SAH-20,,,,,LS+,,,,,,
12,AC10,1 ° ,18.964 ',N,103 ° ,37.021 ',E,1 ° ,0.02296981286,0.02296779306,78.44277807,78.43622878,6217.0208,,,,,,,,,3.517,,,8.760,,3.548Ê,,7,4.3,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.08137346632,-0.08135248018,-0.0315,0.3693400027,0.08723510931,201.2,0.162,,0.04,0.162,,SAH-20,,,,,LS+,,,,,,
13,AC11,1 ° ,18.883 ',N,103 ° ,36.989 ',E,1 ° ,0.02294598912,0.02294397559,78.36140461,78.3548763,6216.9893,,,,,,,,,3.679,,,8.922,,3.710Ê,,7,4.2,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.001390999033,-0.001390640679,-0.0006000000003,0.4072323315,0.001514495307,203.3,0.003,,0.04,0.003,,SAH-20,,,,,LS+,,,,,,
14,"POL: Exit Malaysia - TS, Enter Singapore - TS",1 ° ,18.881 ',N,103 ° ,36.989 ',E,1 ° ,0.02294558188,0.02294356846,78.36001361,78.35348566,6216.9887,,,,,,,,,3.681,,,8.924,,3.712Ê,,5,4.2,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.04272353528,-0.04271253501,-0.0189,0.4164983571,0.04670531795,203.9,0.087,,0.04,0.087,,SAH-20,,,,,LS+,,,,,,
15,AC12,1 ° ,18.838 ',N,103 ° ,36.970 ',E,1 ° ,0.02293307368,0.02293106355,78.31729007,78.31077312,6216.9698,,,,,,,,,3.768,,,9.011,,3.799Ê,,8,4.3,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.02384568871,-0.02383955432,-0.0116,0.4527579448,0.02651066063,205.9,0.049,,0.04,0.049,,SAH-20,,,,,LS+,,,,,,
16,"POL: Exit Singapore - TS , Enter Malaysia - TS",1 ° ,18.814 ',N,103 ° ,36.958 ',E,1 ° ,0.02292609237,0.02292408407,78.29344438,78.28693357,6216.9582,,,,,,,,,3.817,,,9.060,,3.848Ê,,7,4.3,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.2187840135,-0.2187279073,-0.1067,0.4537557219,0.2433535473,206.0,0.451,,0.04,0.452,,SAH-20,,,,,LS+,,,,,,
17,AC13,1 ° ,18.594 ',N,103 ° ,36.852 ',E,1 ° ,0.02286203878,0.02286004727,78.07466037,78.06820566,6216.8515,,,,,,,,,4.269,,,9.512,,4.300Ê,,10,4.3,,,,,,,
,,,,,,,,,,,,,,0 ° ,-0.1063118239,-0.1062846756,-0.0368,0.3332422287,0.112472133,199.1,0.209,,0.04,0.209,,SAH-20,,,,,LS+,,,,,,
